Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WX1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,CONHAM,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,ARRL2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,ARRL70C,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,JBU OPS,461.712500,,0.000000,Tone,189.9,88.5,023,NN,NFM,5.00,,,,,,
11,BALLY 1,461.537500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,BALLY 2,464.250000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,OTIS 6,465.950000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,OTIS 7,463.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,OTIS 8,464.062500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,OTIS 9,468.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,OTIS 10,469.337500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,BALLYS1,152.480000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,BALLYS2,461.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,BALLYS3,462.025000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,BALLYS4,462.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,BALLYS5,464.100000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,BALLYS6,464.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,BALLYS7,465.887500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,FLAM 1,462.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,FLAM 2,464.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,FLAM 3,464.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,FLAM 4,464.975000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
35,FLAM 5,465.000000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,PARIS01,451.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
42,PARIS02,451.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
43,PARIS03,451.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
44,PARIS04,451.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
45,PARIS05,451.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
46,PARIS06,452.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,PARIS07,452.250000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,PARIS08,461.050000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,PARIS09,461.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,PARIS10,462.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,PARIS11,462.375000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
52,PARIS12,462.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,PARIS13,462.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
54,PARIS14,463.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
55,PARIS15,464.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
56,PARIS16,464.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
57,PARIS17,464.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
58,PARIS18,461.925000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
60,KR1RI,146.760000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
61,N1RWX,444.200000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
62,N1JBC,449.225000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
71,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,BLU DOT,154.570000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,GRN DOT,154.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,GMRS550,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,GMRS575,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,GMRS600,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
